window_start,window_end,event_count,unique_messages,distinct_hosts,distinct_processes,avg_msg_length,failed_auth_count,invalid_user_count,entropy_tokens,isolation_forest_label,isolation_forest_score,one_class_svm_label,one_class_svm_score,dbscan_label,dbscan_score,ensemble_anomaly
2025-06-14 15:16:01,2025-06-14 15:17:01,3,2,1,1,63.333333333333336,0,0,4.087462841250339,1,0.22467987908919645,1,1.3215115089024358,-1,-1,1
2025-06-15 02:04:01,2025-06-15 02:05:01,10,1,1,1,115.0,0,0,4.20184123230257,1,0.19167064105719006,1,0.9704448109551151,-1,-1,1
2025-06-15 04:06:01,2025-06-15 04:07:01,2,2,1,1,34.5,0,0,3.0850551027564768,1,0.22628281529772193,1,0.6929453430427621,1,0,0
2025-06-15 04:12:01,2025-06-15 04:13:01,2,2,1,1,33.5,0,0,3.0850551027564768,1,0.225963201543054,1,0.6524773705278655,1,0,0
2025-06-15 12:12:01,2025-06-15 12:13:01,20,2,1,1,53.5,0,0,4.142664355548848,1,0.1662944356069142,1,2.003648983040005,-1,-1,1
2025-06-15 12:13:01,2025-06-15 12:14:01,4,2,1,1,53.5,0,0,4.142664355548848,1,0.22006253746120064,1,1.3085157305403712,-1,-1,1
2025-06-15 14:53:01,2025-06-15 14:54:01,20,2,1,1,60.0,0,0,4.058813890331201,1,0.16949205914287524,1,2.0896507910935718,-1,-1,1
2025-06-15 20:05:01,2025-06-15 20:06:01,10,2,1,1,63.5,0,0,4.3685225277282065,1,0.19791169406384101,1,1.7244646941116564,-1,-1,1
2025-06-16 04:10:01,2025-06-16 04:11:01,2,2,1,1,34.5,0,0,3.0850551027564768,1,0.22628281529772193,1,0.6929453430427621,1,0,0
2025-06-16 04:16:01,2025-06-16 04:17:01,2,2,1,1,33.5,0,0,3.0850551027564768,1,0.225963201543054,1,0.6524773705278655,1,0,0
2025-06-17 04:03:01,2025-06-17 04:04:01,2,2,1,1,34.5,0,0,3.0850551027564768,1,0.22628281529772193,1,0.6929453430427621,1,0,0
2025-06-17 04:09:01,2025-06-17 04:10:01,2,2,1,1,33.5,0,0,3.0850551027564768,1,0.225963201543054,1,0.6524773705278655,1,0,0
2025-06-17 07:06:01,2025-06-17 07:07:01,6,1,1,1,91.0,0,0,3.916126946588284,1,0.20938529901871067,1,1.2384521892145948,-1,-1,1
2025-06-17 07:07:01,2025-06-17 07:08:01,2,2,1,1,91.0,0,0,3.963745994207332,1,0.22721203256044092,1,1.0150157660462789,-1,-1,1
